timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692338788198,37802,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,15,15,null,0,0,0
1692338818232,7775,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,15,15,null,0,0,0
1692338818245,8818,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,15,15,null,0,0,0
1692338788205,39034,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,15,15,null,0,0,0
1692338788191,39054,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,15,15,null,0,0,0
1692338818226,9174,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,536,619,15,15,null,0,0,0
1692338758174,69233,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,15,15,null,0,0,0
1692338788184,39231,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,15,15,null,0,0,0
1692338758141,69281,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,15,15,null,0,0,0
1692338818240,9216,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,15,15,null,0,0,0
1692338758156,69311,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,15,15,null,0,0,0
1692338836014,597,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,15,15,null,0,0,0
1692338836007,642,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,15,15,null,0,0,0
1692338837068,649,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,536,619,15,15,null,0,0,0
1692338837245,732,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,536,619,15,15,null,0,0,0
1692338837251,979,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,536,619,15,15,null,0,0,0
1692338837420,1249,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,536,619,15,15,null,0,0,0
1692338837406,1276,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,536,619,15,15,null,0,0,0
1692338837413,1346,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,536,619,15,15,null,0,0,0
1692338837461,1300,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,536,619,15,15,null,0,0,0
1692338837427,1344,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,536,619,15,15,null,0,0,0
1692338837476,1304,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,536,619,15,15,null,0,0,0
1692338846616,442,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,536,619,15,15,null,0,0,0
1692338846655,447,RDC_CreateRequest,000,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,536,619,15,15,null,0,0,0
